id	label	col1	col2	col3	col4	col5	col6	col7	col8	col9	col10	col11	col12	col13	col14	col15	col16	col17	col18	col19	col20	col21	col22	col23	col24	col25	col26	col27	col28	col29	col30	col31	col32	col33	col34	col35	col36	col37	col38	col39	col40	col41	col42	col43	col44	col45	col46	col47	col48	col49	col50	col51	col52	col53	col54	col55	col56	col57	col58	col59	col60	col61	col62	col63
F33	0	0.29	0.07	0.08	0.09	0.1	0.18	0.18	0.15	0.08	0.21	0.11	0.24	0.1	0.16	0.04	0.03	0.08	0.13	0.13	0.08	0.17	0.65	0.06	0.12	0.43	0.08	0.03	0.13	0.14	0.44	0.14	0.25	0	0.11	0.78	0.1	0.1	0.1	0.07	0.11	0.05	0.28	0.16	0.53	0.19	0.54	0.25	0.19	0.08	0.11	0.18	0.25	0.19	0.03	0.07	0.07	0.11	0.29	0.23	0.04	0.21	0.1	0.06
F34	0	0.53	0.1	0.06	0.18	0.21	0.38	0.13	0.15	0.13	0.25	0.17	0.33	0.06	0.1	0.03	0.07	0.09	0.08	0.1	0.2	0.43	0.77	1	0.31	0.73	0.1	0.05	0.16	0.16	0.32	0.22	0.39	0.12	0	1	0.09	0.07	0.22	0.14	0.3	0.03	0.26	0.2	1	1	0.23	0.24	0.19	0.09	0.32	0.17	0.31	0.28	0.09	0.09	0.07	0.12	0.13	0.27	0.1	0.21	0.13	0.09
F35	0	0	0.16	0.34	0.65	0.41	1	0.21	0.06	0.16	0.48	0.23	0.08	0.26	0.31	0.05	0.06	0.15	1	0.19	0.14	0.23	0.08	0.07	0.02	0.93	0.28	0.15	0.38	0.27	0.05	0.08	0.16	0.65	0.78	0	0.06	0.39	0.19	0.6	0.95	0.1	0.37	0.08	0.39	0.04	0.04	0.17	0.09	0.12	0.08	0.09	1	0.81	0.05	0.18	0.57	0.12	0.68	0.36	0.13	0.38	0.24	0.31
F36	0	0.21	0.1	0.16	0.2	0.09	0.2	0.06	0.06	0.11	1	0.12	0.68	0.25	0.22	0.04	0.09	0.06	0.2	0.12	0.07	0.16	0.14	0.19	0.1	0.16	0.1	0.1	0.13	0.14	0.1	0.12	0.16	0.16	0.13	0.11	0	0.05	0.07	0.07	0.13	0.02	0.16	0.03	0.17	0.08	0.06	0.1	0.11	0.06	0.06	0.04	0.11	0.14	0.04	0.05	0.11	0.07	0.12	0.35	0.07	0.13	0.14	0.15
F37	0	0.17	0.08	0.15	0.26	0.57	0.09	1	0.19	0.22	0.04	0.25	0.09	0.17	0.25	0.06	0.1	0.06	0.17	0.13	0.11	0.12	0.7	0.16	0.06	0.33	0.09	0.09	0.16	0.22	0.55	1	0.5	0.16	0.1	0.73	0.05	0	0.03	0.11	0.05	0.03	0.23	0.11	0.58	0.34	0.12	0.1	0.4	0.08	0.17	0.03	0.7	0.07	0.05	0.07	0.17	0.21	0.36	0.18	0.13	0.06	0.23	0.07
F38	0	0.16	0.04	0.11	0.14	0.13	0.86	0.17	0.13	0.11	0.1	0.2	0.11	0.16	0.19	0.05	0.19	0.07	0.61	0.1	0.15	0.23	0.6	1	0.16	0.29	0.07	0.06	0.13	0.11	0.07	0.14	0.13	0.13	0.27	0.29	0.05	0.03	0	0.06	0.12	0.03	0.13	0.09	0.27	0.11	0.07	0.1	0.14	0.09	0.05	0.08	0.43	0.11	0.02	0.05	0.16	0.11	0.28	0.12	0.06	0.12	0.15	0.1
F39	0	0.6	0.08	0.12	0.16	0.11	0.18	0.21	0.15	0.1	0.19	0.18	0.14	0.16	0.15	0.03	0.07	0.06	0.1	0.14	0.13	0.15	0.45	0.26	0.02	0.3	0.09	0.04	0.09	0.12	0.04	0.08	0.15	0.08	0.14	0.78	0.05	0.07	0.05	0	0.07	0.02	0.39	0.23	0.57	0.15	0.23	0.76	0.16	0.14	0.1	0.12	0.21	0.13	0.04	0.08	0.04	0.13	0.31	0.27	0.07	0.1	0.11	0.09
F40	0	0.61	0.1	0.18	0.24	0.11	0.32	0.27	0.22	0.16	0.28	0.1	0.14	0.39	0.28	0.07	0.08	0.06	0.07	0.11	0.15	0.1	0.44	0.18	0.02	0.21	0.15	0.07	0.16	0.14	0.1	0.07	0.1	0.07	0.19	0.75	0.05	0.02	0.06	0.04	0	0.02	0.32	0.17	0.66	0.25	0.12	0.4	0.1	0.19	0.11	0.19	0.32	0.26	0.07	0.12	0.11	0.48	0.44	1	0.32	0.13	0.16	0.1
F41	0	0.65	0.05	0.12	0.17	0.17	0	0.12	0.11	0.09	0.66	0.06	0.07	0.05	0.14	0.02	0.13	0.06	0.07	0.06	0.13	0.1	0.35	0.26	0.04	0.26	0.08	0.02	0.12	0.1	0.42	0.1	0.5	0.1	0.06	0.24	0.03	0.04	0.05	0.03	0.05	0	0.11	0.1	0.29	0.22	0.25	0.22	0.17	0.13	0.05	0.83	0.26	0.16	0.04	0.08	0.07	0.12	0.18	0.39	0.09	0.12	0.13	0.05
F42	0	0.44	0.04	0.22	0.16	0.23	0.05	0.11	0.21	0.11	0.17	0.09	0.07	0.07	0.14	0.07	0.09	0.11	0.14	0.07	0.09	0.08	0.47	0.3	0.04	0.2	0.15	0.04	0.1	0.1	0.21	0.14	0.22	0.18	0.15	0.28	0.06	0.09	0.07	0.23	0.31	0.03	0	0.11	0.2	0.09	0.08	0.15	0.09	0.07	0.06	0.04	0.17	0.13	0.04	0.04	0.08	0.14	0.3	0.21	0.1	0.09	0.1	0.06
